,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
143,144,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,we can't be friends (wait for your love),Republic Records,4,159,32,71883,1,Denmark
144,145,spotify:track:3M0lSi5WW79CXQamgSBIjx,Chase Atlantic,Swim,Warner Records,145,-1,1,71846,1,Denmark
145,146,spotify:track:1f18HzFpegqvH4ibGJyeMJ,Tate McRae,2 hands,RCA Records Label,54,114,5,71056,1,Denmark
146,147,spotify:track:1GeLUnMQ54ZcHi4SWIwXvJ,Ukendt Kunstner,Gennem Byen,No3,66,-1,31,70954,1,Denmark
147,148,spotify:track:24XihnoVPWXlKJ4BgXqjVM,Tate McRae,It's ok I'm ok,RCA Records Label,31,160,13,70919,1,Denmark
148,149,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,69,-1,56,70884,1,Denmark
149,150,spotify:track:4lLtanYk6tkMvooU0tWzG8,Bruno Mars,Grenade,Elektra (NEK),133,-1,16,70641,1,Denmark
150,151,spotify:track:7z7kvUQGwlC6iOl7vMuAr9,The Weeknd,Dancing In The Flames,XO / Republic Records,20,-1,10,70460,1,Denmark
151,152,spotify:track:7xWiCG3N7tFgPTNGVYQoq8,Nik & Jay,Hot!,Parlophone Denmark,64,72,62,70377,1,Denmark
152,153,spotify:track:7xN3b5ZysgGpkvoHdG1HXA,Lamin,Æstetisk,Universal Music A/S,57,181,74,70083,1,Denmark
153,154,spotify:track:2kH5EAaAaLILXLSkg1orBu,"Josef, MAS, Artigeardit",Mhhh (feat. MAS & Artigeardit),Universal Music A/S,21,-1,8,69953,1,Denmark
154,155,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,12,198,32,69901,1,Denmark
155,156,spotify:track:5B03nSG8pLE48jh7kmasuL,Avicii,Levels - Radio Edit,Universal Music AB,26,-1,6,69823,1,Denmark
156,157,spotify:track:6eWAWHm0cuOaPGDWhoLJ7s,Myles Smith,Nice To Meet You,RCA Records Label,110,-1,4,69798,1,Denmark
157,158,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,Universal-Island Records Ltd.,97,-1,83,69670,1,Denmark
158,159,spotify:track:3WusoRwl3lmALNHo2chydw,MAS,Ik Tænk,Universal Music A/S,15,143,14,69650,1,Denmark
159,160,spotify:track:12RzHH3ZiYmBP6ehh33L20,Hans Philip,Du og jeg,Universal Music A/S,9,-1,13,69594,1,Denmark
160,161,spotify:track:7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,89,-1,21,69528,1,Denmark
161,162,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,CYRIL,Stumblin' In,Spinnin' Records,67,113,30,69505,1,Denmark
162,163,spotify:track:1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Lush Life,Epic/Record Company TEN,97,137,33,69440,1,Denmark
163,164,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,That's What I Like,Atlantic Records,15,-1,29,69374,1,Denmark
164,165,spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,Africa,Columbia,135,135,18,69270,1,Denmark
